Parameter,Tests#,Patterns,Unit,HighL,LowL,mean_site3_devm_No1_loop5.stdf.gextb.csv,mean_site3_devm_No2_loop5.stdf.gextb.csv,mean_site3_devm_No3_loop5.stdf.gextb.csv,mean_site3_devm_No4_loop5.stdf.gextb.csv,mean_site3_devm_No5_loop5.stdf.gextb.csv
 SBIN,,,,,,,,,,
HBIN,,,,,,,,,,
DIE_X,,,,,,,,,,
DIE_Y,,,,,,,,,,
SITE,,,,,,,,,,
TIME,,,sec.,,,,,,,
TOTAL_TESTS,,,,,,,,,,
LOT_ID,,,,,,,,,,
WAFER_ID,,,,,,,,,,
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO0_Y1].td,530,,Code,,,3493.0,3482.2,3481.4,3490.2,3489.4
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO0_Y2].td,531,,Code,,,582.8,580.8,579.2,582.4,582.4
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO0_Y3].td,532,,Code,,,2030.2,2026.4,2023.8,2029.8,2030.4
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO1_Y1].td,536,,Code,,,3488.6,3478.0,3476.2,3483.4,3485.0
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO1_Y2].td,537,,Code,,,583.8,580.0,580.6,582.6,583.6
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO1_Y3].td,538,,Code,,,2033.8,2024.8,2023.4,2029.8,2030.8
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO2_Y1].td,542,,Code,,,3483.4,3475.8,3472.6,3482.6,3482.0
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO2_Y2].td,543,,Code,,,587.4,582.6,583.0,586.2,586.0
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO2_Y3].td,544,,Code,,,2028.6,2021.8,2019.2,2026.8,2025.4
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO3_Y1].td,548,,Code,,,3482.2,3473.8,3471.6,3480.0,3479.8
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO3_Y2].td,549,,Code,,,585.0,583.6,582.8,584.2,584.2
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO3_Y3].td,550,,Code,,,2027.0,2021.2,2018.8,2026.2,2025.0
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO4_Y1].td,554,,Code,,,3484.6,3475.6,3473.8,3483.4,3482.0
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO4_Y2].td,555,,Code,,,586.0,583.2,583.0,586.4,584.8
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO4_Y3].td,556,,Code,,,2029.0,2022.8,2020.6,2027.4,2026.8
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO5_Y1].td,560,,Code,,,3483.4,3475.8,3473.2,3483.2,3480.8
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO5_Y2].td,561,,Code,,,587.4,582.2,584.2,586.4,585.8
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO5_Y3].td,562,,Code,,,2028.0,2022.6,2021.8,2027.4,2027.2
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO6_Y1].td,566,,Code,,,3484.6,3476.8,3473.6,3482.6,3482.0
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO6_Y2].td,567,,Code,,,586.0,584.0,583.6,586.0,586.6
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO6_Y3].td,568,,Code,,,2029.6,2022.0,2022.4,2028.4,2027.0
Main.Contact.ContinuityTest.signalGroup[grp_Pos].parametricTestDescriptor,4000,,V,-0.2,-0.9,-0.48160600000000003,-0.47571566,-0.5017099399999999,-0.4722263,-0.47869284
Main.Contact.ContinuityTest1.signalGroup[grp_Pos].parametricTestDescriptor,4001,,V,-0.2,-0.9,-0.45680148000000004,-0.45111408,-0.47670724,-0.44565042000000005,-0.45392580000000005
Main.Contact.ContinuityTest2.signalGroup[grp_Pos].parametricTestDescriptor,4002,,V,-0.2,-0.9,-0.59579046,-0.58090104,-0.630969,-0.56971802,-0.583553
Main.Contact.PowerShort.VBAT_0p1V,4100,,uA,1000,-1000,-10.4130234,-1.93777224,18.260258999999998,0.12163467999999966,-5.4229216000000005
Main.Contact.PowerShort.VSYS_BUCK_0p1V,4101,,uA,1000,-1000,0.3429595999999999,-0.5278284,0.50128428,-2.1110787599999994,1.29290964
Main.Contact.PowerShort.VSYS_0p1V,4102,,uA,1000,-1000,-2.8534313000000004,-1.6674849999999999,-0.1652866000000002,-2.5371786,1.2578500000000001
Main.Contact.PowerShort.VCORE_LX_0p1V,4103,,uA,1000,-1000,8.563422200000002,7.0609238,6.3492142000000005,6.1910568,4.6094788
Main.Contact.PowerShort.VAUD18_LX_0p1V,4104,,uA,1000,-1000,6.959753999999999,7.827293599999999,5.85561,8.379365,7.669559600000001
Main.Contact.PowerShort.VIO18_LX_0p1V,4105,,uA,1000,-1000,8.710433,7.3667457999999995,6.339221400000001,7.761948000000001,6.339222
Main.Contact.PowerShort.VRF18_LX_0p1V,4106,,uA,1000,-1000,7.1007983999999995,5.2948324,5.3733524,7.493399600000001,7.57192
Main.Contact.PowerShort.AVDD18_AUD_0p1V,4107,,uA,1000,-1000,-0.267093356,0.049354496000000005,-0.029757319999999955,-0.5835412200000001,-0.9791007799999999
Main.Contact.PowerShort.AVDD18_AUD_DRV_0p1V,4108,,uA,1000,-1000,-0.6254773800000001,0.08311349999999998,0.24057813999999994,-0.54674502,-0.62547734
Main.Contact.PowerShort.VDDK_0p1V,4109,,uA,1000,-1000,133.38482000000002,177.91558,129.20018000000002,129.51602000000003,132.99006
Main.Contact.PowerShort.DVDD_IO_0p1V,4110,,uA,1000,-1000,-0.31473905999999996,-0.4721712800000001,0.00012521999999998146,0.00012521999999999257,-0.31473908
Main.Contact.PowerShort.AVDD_BTRF_0p1V,4111,,uA,1000,-1000,-0.008879667999999995,-0.0507609,0.24670025999999998,0.008287682,0.1701901
Main.Contact.PowerShort.AVDD_VBT_0p1V,4112,,uA,1000,-1000,0.24137334000000005,0.26549532,0.18780048000000002,0.25691224,0.229830508
Main.Contact.PowerShort.VDIG18_0p1V,4113,,uA,1000,-1000,-0.39558114,-0.077844202,0.163826,-0.20792777999999998,0.032409107999999964
Main.Contact.PowerShort.VRF_0p1V,4114,,uA,1000,-1000,-0.44900319600000005,1.28352688,-0.12327547999999999,0.06556038,-0.07266473160000002
Main.Contact.PowerShort.VA18_0p1V,4115,,uA,1000,-1000,0.42162799,0.23352878000000002,0.08361482000000002,-0.07740294399999999,0.32395255
Main.Contact.PowerShort.VDD33_0p1V,4116,,uA,1000,-1000,-0.219914184,-0.1638262,0.26475574599999996,0.1971244,0.168709504
Main.Contact.PowerShort.VSRAM_0p1V,4117,,uA,1000,-1000,28.199142000000002,30.529594000000003,21.525006,22.843898000000003,21.55681
Main.Contact.PowerShort.DVDD18_MLDO_0p1V,4118,,uA,1000,-1000,-0.0961613,-0.09616132,-0.57098638,-0.25443634,-0.33357384
Main.Contact.PowerShort.VCORE_FB_0p1V,4119,,uA,1000,-1000,-0.45156868800000005,-0.45156868800000005,-0.45156868799999994,-0.293410956,-0.45156867600000006
Main.Contact.PowerShort.VAUD18_FB_0p1V,4120,,uA,1000,-1000,0.177159836,-0.059442277999999994,0.177159836,0.09829247,0.01942509600000001
Main.Contact.PowerShort.VIO18_FB_0p1V,4121,,uA,1000,-1000,-0.06305031999999999,0.01599006,0.09503044,0.01599006,-0.14209071999999998
Main.Contact.PowerShort.VRF18_FB_0p1V,4122,,uA,1000,-1000,-0.67270754,-0.59418724,-0.6727075,-0.6727075,-0.7512278
Main.Contact.PowerShort.ISINK0_0p1V,4123,,uA,1000,-1000,0.033593914600000004,0.016279,0.026046472999999997,0.015391107400000001,0.024714460799999997
Main.Contact.PowerShort.ISINK1_0p1V,4124,,uA,1000,-1000,0.029302282599999997,0.017610999199999998,0.037885684,0.0236785916,0.0110992582
Main.Contact.PowerShort.FSOURCE_D_0p1V,4125,,uA,1000,-1000,-0.293410944,-0.372489828,-0.135253212,-0.293410956,-0.293410956
Main.Contact.PowerShort.AVDD50_0p1V,4126,,uA,1000,-1000,1.5177574,1.9129594,1.8339190000000003,1.7548786,1.2015958
Main.Contact.PowerShort.AVDD_DCXO_0p1V,4127,,uA,1000,-1000,0.29065496400000007,0.5500821,0.26312773999999994,0.11957745600000003,0.21799173400000002
tm_iotest_ddie_20200301,20000,flowHome.ioTest.patterns.tm_iotest_ddie_20200301,,,,1.0,1.0,1.0,1.0,1.0
tm_iotest_byp_adie_ad_20200301,20001,flowHome.ioTest.patterns.tm_iotest_byp_adie_ad_20200301,,,,1.0,1.0,1.0,1.0,1.0
Main.LeakageTest.LeakageTest_VDDK.VDDK_Sleep_Current,20201,,uA,500,1,357.70009999999996,429.41974,353.93121999999994,330.11928,357.99974000000003
Main.LeakageTest.LeakageTest.VSRAM_Sleep_Current,20202,,uA,300,1,433.98663999999997,499.99359999999996,430.7743200000001,499.99359999999996,433.94604
Main.LeakageTest.LeakageTest.DVDD_IO_Sleep_Current,20203,,uA,50,1,11.117140000000001,11.198964,10.861444,11.241448,11.157266
Main.LeakageTest.LeakageTest.AVDD_VBT_Sleep_Current,20204,,uA,300,60,101.28412,99.82827999999999,99.780224,98.528528,102.9402
Main.LeakageTest.LeakageTest.AVDD_BTRF_Sleep_Current,20205,,nA,5000,-1000,341.86012,379.893,341.26718,331.79676,356.80714
Main.PmicTest.EfuseBlankCheck.Adie_Blank_Check.FT_eFuse_burn_bit_for_TE,20301,,code,,,1.0,1.0,1.0,1.0,1.0
atpg1_occ_comp_transition_0p9v,20508,flowHome.atpg.patterns.atpg1_occ.E2.sort_comp_transition_pre_0P9V_final,,,,1.0,1.0,1.0,1.0,1.0
atpg1_occ_comp_transition_0p8v,20517,flowHome.atpg.patterns.atpg1_occ.E2.sort_comp_transition_pre_0P8V_final,,,,1.0,1.0,1.0,1.0,1.0
