# Semiconductor Yield Analysis is easy with Quantix! 
# Check latest news: www.mentor.com 
# Created by: Examinator-Pro - V7.8.8
# Examinator Data File: Edit/Add/Remove any data you want! 

--- Csv version:
Major,2
Minor,1
--- Global Info:
Date,2021_07_29 11:51:31
SetupTime,2021_07_29 11:51:30
StartTime,2021_07_29 11:51:31
FinishTime,2021_07_29 11:52:44
ProgramName,MT6177MV/src/testProgram/FT1_MT6177MV_BCA_H_SMT8331_V0500_HD.prog
Wafer_Pos_X, 
Wafer_Pos_Y, 
TesterName,ftv3k61
TesterType,93000-SOC
ExecType,SmarTest
ExecRevision,Smartest : s/w rev. 8.3.3.1 (T) , Tue, 26 May 2020 06:58:41 +0200; : , 
TesterSerialNumber,MY04605672
SoftBinName,1,Pass
HardBinName,1,Good
--- Site details:, Head #1
Site group,0
Testing sites,1 2 3 4 5 6 7 8 
--- Options:
UnitsMode,scaling_factor

