TestGroup,Test,LowerLimit,UpperLimit,DeltaLimit,TestNumber,Gold1,Gold2,Gold3,Gold4,Gold5,Gold6,Gold7,Gold8,Gold9,Gold10,Gold11,Gold12,Gold13,Gold14,Gold15,Gold16,Gold17,Gold18,Gold19,Gold20,Gold21,Gold22,Gold23,Gold24,Gold25,Gold26,Gold27,Gold28,Gold29,Gold30,Gold31,Gold32,Gold33,Gold34,Gold35,Gold36,Gold37,Gold38,Gold39,Gold40,Gold41
TX3_4G_FDD_Band01_CCA,G0D1_RF,2.35,8.35,0.15,10571,5.8051678,6.423852200000001,5.869531399999999,6.1711127999999995,5.0797563,6.2503627999999996,5.898265200000001,6.155111700000001,5.833570999999999,6.1067938999999996,5.974279599999999,5.995052299999999,6.2441404,6.1507157999999995,6.003121600000001,5.739257499999999,6.262406199999999,6.317537,5.9028133,6.382441,6.1177876,5.6829771,5.7707884,6.1979596,5.5089025,6.683730799999999,5.661237,5.88644,5.9185544,5.9060029,6.1317174,5.821316300000001,6.133410699999999,5.4691743,6.124365,6.0636301999999995,6.1245133,5.7801493,5.923014199999999,6.0885953,5.7921765
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,CCA_Total_channelPower,1.9,7.9,0.15,10839,1.1711406000000002,1.8363195,1.3088119,1.5821711999999999,0.47129926000000005,1.5934731000000002,1.1974973,1.5859202,1.1835460999999998,1.4762817,1.2790034,1.3367110000000002,1.7230032999999998,1.6020775,1.3632958,1.1147554999999998,1.5779137,1.6298059999999996,1.2524217,1.7103825000000001,1.4595973,1.0679694,1.1195035,1.5608123,1.0177262,2.1668397000000006,1.0527992,1.316476,1.3627052,1.3037205,1.4528849000000001,1.1897211,1.4972600999999999,0.90217623,1.5030586,1.384264,1.5272392000000004,1.1538473,1.3404546,1.5101809000000002,1.1758880999999999
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,channelPower_E_UTRA_LOW,2,8,0.5,10853,-48.19041,-45.859176000000005,-47.438276,-46.747358999999996,-48.679508999999996,-46.52000799999999,-48.027447,-45.777087,-48.186756,-47.431952,-47.98221199999999,-47.265958999999995,-44.387111999999995,-46.320861,-47.34541399999999,-48.191821,-46.262122999999995,-46.485867000000006,-47.698994,-46.599807,-47.155373,-48.323089,-48.003159,-46.74917799999999,-48.210793,-43.624221999999996,-48.228643,-47.37686,-46.50322,-47.617782,-46.804384000000006,-47.684942,-46.624837,-48.375218,-46.69554699999999,-47.24136699999999,-47.070088,-48.002493,-47.59501000000001,-47.43635199999999,-47.484647
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,channelPower_ACLR1_LOW,2,8,0.5,10854,-52.960691,-50.505513,-52.400946999999995,-51.60625700000001,-53.516678,-51.38403900000001,-52.928141000000004,-50.619674999999994,-52.966258999999994,-52.204717,-52.809331,-52.179579000000004,-49.180113999999996,-51.206474,-52.226562,-53.059251,-51.013447,-51.23857499999999,-52.59041699999999,-51.309618,-51.917494999999995,-53.254726000000005,-52.923548000000004,-51.534698000000006,-52.938166,-48.347531000000004,-53.068472,-52.242222000000005,-51.338743,-52.371992,-51.466751,-52.57242699999999,-51.345949999999995,-53.314935000000006,-51.60280300000001,-52.093578,-51.908132,-52.914361,-52.394146,-52.18861,-52.407358
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,channelPower_E_UTRA_UP,-0.05,6,0.5,10857,-45.586176,-44.039651000000006,-45.989321000000004,-45.355534999999996,-45.9637,-45.38335,-45.87645500000001,-45.332322,-45.451660999999994,-44.956233999999995,-45.585695,-45.56551399999999,-44.872693,-45.242706,-45.80045,-45.929516,-45.13838200000001,-44.70207799999999,-46.123836,-44.510543999999996,-45.093942999999996,-46.217503,-46.086374,-44.880829999999996,-45.505863,-43.249817,-45.871189,-45.906705,-46.051117,-45.432974,-45.134311999999994,-46.006956,-45.395807000000005,-46.60944,-45.126614000000004,-45.257844,-45.152778999999995,-45.863738999999995,-45.335935,-45.109999,-46.07395100000001
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,channelPower_ACLR1_UP,2,8,0.5,10858,-50.85571,-49.368623,-51.409529,-50.790755999999995,-51.137141,-50.85152300000001,-51.332733000000005,-50.73462,-50.82016600000001,-50.305476,-51.000176,-51.04799,-50.21461699999999,-50.546085,-51.232085000000005,-51.275836000000005,-50.547325,-50.155576,-51.540383000000006,-49.95877900000001,-50.466058,-51.629931,-51.45475300000002,-50.197492999999994,-50.771775,-48.651422000000004,-51.229867,-51.293336999999994,-51.506807,-50.823301,-50.470620000000004,-51.350367000000006,-50.811974,-51.97596699999999,-50.616922,-50.641066,-50.61695400000001,-51.235687,-50.76234899999999,-50.516875999999996,-51.53828
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,CCA_UP_channelPower,2,8,0.15,10846,-1.8051137000000002,-1.1579853000000002,-1.6910363,-1.4175697,-2.5001762,-1.3772378,-1.7861354999999999,-1.4059067000000003,-1.7917974,-1.5171005,-1.6858374,-1.6440348999999999,-1.2404358000000002,-1.4016912999999998,-1.617586,-1.868674,-1.3822892,-1.3466856,-1.7236464999999999,-1.2642520999999998,-1.5116921,-1.9208432000000002,-1.8675601,-1.4308191999999997,-1.9610052999999996,-0.80821374,-1.9264536999999997,-1.6566578,-1.622166,-1.6801583999999998,-1.5406535,-1.7947547,-1.487327,-2.0775382000000002,-1.4730291000000002,-1.5953426,-1.4620658,-1.8304174,-1.6426303999999998,-1.4943784,-1.8083282
TX5_4G_FDD_Band01_CCA_TX0_MB1_G4_ACLR,CCA_LOW_channelPower,1.53,7.53,0.15,11211,-2.1522864,-1.4696327999999999,-1.9918023999999999,-1.7185463999999997,-2.8567782,-1.7353494,-2.1187692,-1.7224227000000003,-2.1407664,-1.8305604999999996,-2.0555466,-1.9823541000000002,-1.6129174,-1.6947693000000001,-1.9556373999999999,-2.2017076999999996,-1.7611732,-1.6933906,-2.0711865,-1.6146195000000003,-1.8686612999999999,-2.2432848000000005,-2.1934422000000002,-1.7477192000000001,-2.3032939,-1.1577552,-2.2677147,-2.0099865,-1.9523619,-2.0123077,-1.8538065999999997,-2.1257292999999997,-1.8180824000000002,-2.41789,-1.8205302999999997,-1.9359072999999996,-1.7835391999999999,-2.1618071,-1.9763432,-1.7859072,-2.1398133
TX5_4G_FDD_Band01_CCA_TX0_MB2_G13b_ACLR,CCA_Total_channelPower,2.18,8.18,0.15,10861,-9.3759962,-9.0504973,-9.470113700000002,-8.697474999999999,-9.7104329,-7.939820500000001,-8.5926712,-9.5272718,-8.703213700000001,-9.0704259,-8.3723806,-9.471910100000002,-8.3102803,-8.184337500000002,-9.7332178,-9.7426108,-9.9429741,-9.909012,-8.9845398,-9.245010599999999,-10.0049578,-9.729607300000001,-9.727483399999999,-10.192321999999999,-10.0249159,-8.8989052,-8.0082725,-9.2027925,-8.684385299999999,-9.1254812,-8.6630527,-8.8992839,-8.8859691,-9.896191599999998,-9.111739799999999,-8.7825217,-9.488878199999998,-10.396936,-9.8930991,-9.681048,-9.437090700000002
TX5_4G_FDD_Band01_CCA_TX0_MB2_G13b_ACLR,channelPower_E_UTRA_LOW,3,9,0.5,10875,-55.304501,-55.794579999999996,-55.884735,-56.251479999999994,-55.367691,-54.86043199999999,-56.346704,-56.13240599999999,-56.277112,-56.409186,-56.014568,-56.342093999999996,-55.389004,-55.632693999999994,-55.921545,-55.560438999999995,-55.901281000000004,-55.464355999999995,-57.130973000000004,-56.228657,-54.468495000000004,-56.071273,-55.891787,-54.430646999999986,-54.055229,-57.193884000000004,-54.663926000000004,-56.866181000000005,-57.026267,-56.99303200000001,-56.721279,-57.241837,-57.197036000000004,-56.445794,-56.158198000000006,-56.46226,-56.55231199999999,-54.45380499999999,-54.71675700000001,-55.102864,-56.845699
TX5_4G_FDD_Band01_CCA_TX0_MB2_G13b_ACLR,channelPower_ACLR1_LOW,4,10,0.5,10876,-60.28114999999999,-60.39911600000001,-60.60414099999999,-60.703449,-60.45394399999999,-59.316862,-61.33250399999999,-61.175078000000006,-61.099935,-61.45050200000001,-60.46129599999999,-61.421544000000004,-59.64304,-60.16574000000001,-60.734506999999994,-60.43716499999999,-60.970762,-60.375488,-62.02651999999999,-61.098432,-59.116705,-61.198735,-60.94488700000001,-59.04901100000001,-58.95000100000001,-62.32678599999999,-59.073569,-61.79354599999999,-61.884373999999994,-61.987729,-61.552256000000014,-62.402295,-62.20633500000001,-61.67131599999999,-61.25907200000002,-61.388020000000004,-61.78272599999999,-59.47847899999999,-59.77024,-59.87031499999999,-61.949442
