TestGroup,Test,LowerLimit,UpperLimit,DeltaLimit,TestNumber
RX_B1_PRX,IQ_Gain,-3.145,3.308,0.3,1001
RX_B1_PRX,IQ_NF,-5.408,2.955,0.5,1013
RX_B1_PRX,IQ_TX_IIP2,-12,12,3,1015
RX_B1_PRX,IQ_IIP3,-2.701,4.262,2.5,1017
RX_B1_PRX,IQ_IIP2,-17.001,-0.865,3,1019
RX_B1_PRX,IQ_Gain_DLPM,-2.969,3.477,0.3,1031
RX_B1_PRX,IQ_NF_DLPM,-5.031,3.269,0.5,1033
RX_B1_PRX,InputPowerLoss,-0.321,3.892,0.3,
RX_B1_DRX,IQ_Gain,-3.33,3.319,0.3,1007
RX_B1_DRX,IQ_NF,-2.485,6.187,0.5,1014
RX_B1_DRX,IQ_TX_IIP2,-12,13.5,3,1016
RX_B1_DRX,IQ_IIP3,-0.13,5.846,2.5,1018
RX_B1_DRX,IQ_IIP2,-16.384,-1.853,3,1020
RX_B1_DRX,IQ_Gain_DLPM,-3.888,2.739,0.3,1032
RX_B1_DRX,IQ_NF_DLPM,-2.761,6.044,0.5,1034
RX_B1_DRX,InputPowerLoss,4.827,9.126,0.3,
RX_B2_PRX,IQ_Gain,-2.981,3.333,0.3,1101
RX_B2_PRX,IQ_NF,-1.829,6.485,0.5,1113
RX_B2_PRX,IQ_TX_IIP2,-14,10,3,1115
RX_B2_PRX,IQ_IIP3,-7.103,-0.633,2.5,1117
RX_B2_PRX,IQ_IIP2,-16.759,-1.257,3,1119
RX_B2_PRX,IQ_Gain_DLPM,-3.303,3.018,0.3,1131
RX_B2_PRX,IQ_NF_DLPM,-1.992,6.443,0.5,1133
RX_B2_PRX,InputPowerLoss,3.934,8.275,0.3,
RX_B2_DRX,IQ_Gain,-3.052,3.165,0.3,1107
RX_B2_DRX,IQ_NF,-2.18,6.548,0.5,1114
RX_B2_DRX,IQ_TX_IIP2,-10,14,3,1116
RX_B2_DRX,IQ_IIP3,-6.311,1.742,2.5,1118
RX_B2_DRX,IQ_IIP2,-21.311,-5.758,3,1120
RX_B2_DRX,IQ_Gain_DLPM,-2.954,3.274,0.3,1132
RX_B2_DRX,IQ_NF_DLPM,-2.403,6.112,0.5,1134
RX_B2_DRX,InputPowerLoss,4.276,8.362,0.3,
RX_B3_PRX,IQ_Gain,-3.113,3.25,0.3,1201
RX_B3_PRX,IQ_NF,-5.013,3.446,0.5,1213
RX_B3_PRX,IQ_TX_IIP2,-12,12,3,1215
RX_B3_PRX,IQ_IIP3,-2.063,4.986,2.5,1217
RX_B3_PRX,IQ_IIP2,-18.131,-3.002,3,1219
RX_B3_PRX,IQ_Gain_DLPM,-3.079,3.252,0.3,1231
RX_B3_PRX,IQ_NF_DLPM,-5,3.312,0.5,1233
RX_B3_PRX,InputPowerLoss,-0.026,4.212,0.3,
RX_B3_DRX,IQ_Gain,-3.358,3.019,0.3,1207
RX_B3_DRX,IQ_NF,-2.449,5.858,0.5,1214
RX_B3_DRX,IQ_TX_IIP2,-12,12,3,1216
RX_B3_DRX,IQ_IIP3,-2.076,5.111,2.5,1218
RX_B3_DRX,IQ_IIP2,3.272,17.808,3,1220
RX_B3_DRX,IQ_Gain_DLPM,-3.331,3.03,0.3,1232
RX_B3_DRX,IQ_NF_DLPM,-2.553,5.978,0.5,1234
RX_B3_DRX,InputPowerLoss,4.128,8.21,0.3,
RX_B4_PRX,IQ_Gain,-3.345,3.087,0.3,1301
RX_B4_PRX,IQ_NF,-5.227,3.14,0.5,1313
RX_B4_PRX,IQ_TX_IIP2,-12,12,3,1315
RX_B4_PRX,IQ_IIP3,-2.198,4.529,2.5,1317
RX_B4_PRX,IQ_IIP2,-13.742,2.716,3,1319
RX_B4_PRX,IQ_Gain_DLPM,-3.342,3.094,0.3,1331
RX_B4_PRX,IQ_NF_DLPM,-5.541,3.043,0.5,1333
RX_B4_PRX,InputPowerLoss,0.671,5.046,0.3,
RX_B4_DRX,IQ_Gain,-4.474,2.16,0.3,1307
RX_B4_DRX,IQ_NF,-3.032,5.569,0.5,1314
RX_B4_DRX,IQ_TX_IIP2,-12,12,3,1316
RX_B4_DRX,IQ_IIP3,-6.954,0.921,2.5,1318
RX_B4_DRX,IQ_IIP2,-14.373,2.28,3,1320
RX_B4_DRX,IQ_Gain_DLPM,-2.737,3.88,0.3,1332
RX_B4_DRX,IQ_NF_DLPM,-3.651,5.116,0.5,1334
RX_B4_DRX,InputPowerLoss,3.655,7.97,0.3,
RX_B7_PRX,IQ_Gain,-3.241,3.153,0.3,1401
RX_B7_PRX,IQ_NF,-3.174,5.264,0.5,1413
RX_B7_PRX,IQ_TX_IIP2,-12,14,3,1415
RX_B7_PRX,IQ_IIP3,-2.708,3.272,2.5,1417
RX_B7_PRX,IQ_IIP2,-4.965,9.808,3,1419
